id,Order,MS SubClass,MS Zoning,Lot Area,Lot Shape,Land Contour,Lot Config,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Foundation,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
0,1611,53,RL,11230,Reg,Lvl,Inside,NoRidge,1Fam,2Story,6,5,1984,2005,Hip,HdBoard,MetalSd,Gd,PConc,0,1260,1151,Ex,Y,SBrkr,1192,1611,2635,0,1,0,3,0,Gd,7,0,2,556,Y,57,0,2,2008,WD ,Normal,259175
1,2078,56,RL,7855,IR1,Lvl,Inside,Gilbert,1Fam,2Story,6,5,2010,2008,Gable,VinylSd,VinylSd,Gd,PConc,0,967,1035,Ex,Y,SBrkr,892,830,1852,0,2,0,2,0,Gd,6,0,1,563,Y,31,51,1,2007,New,Partial,220872
2,2112,17,RL,6178,Reg,Lvl,Inside,Somerst,1Fam,1Story,5,4,2011,2009,Gable,VinylSd,VinylSd,TA,PConc,0,914,890,Gd,Y,SBrkr,1220,0,1449,0,2,0,2,0,Gd,6,0,1,566,Y,0,0,4,2007,WD ,Normal,174084
3,755,17,RL,9114,Reg,Lvl,Inside,NAmes,1Fam,1Story,3,5,1958,1972,Gable,VinylSd,VinylSd,Gd,PConc,271,89,1864,Ex,Y,SBrkr,1531,0,1833,0,2,0,2,0,TA,6,0,2,1107,Y,33,14,7,2009,WD ,Normal,191610
4,1601,18,RL,7821,Reg,Lvl,Inside,NAmes,1Fam,1Story,7,6,1966,1971,Gable,MetalSd,MetalSd,Gd,CBlock,0,765,1281,Ex,Y,SBrkr,1393,0,1384,0,1,0,2,0,TA,5,0,0,378,Y,0,0,9,2008,WD ,Normal,208007
5,1294,25,RL,3631,Reg,Lvl,Inside,OldTown,1Fam,1Story,4,7,1916,2006,Gable,MetalSd,MetalSd,TA,BrkTil,1051,53,1337,Ex,Y,SBrkr,1033,0,1125,0,1,0,2,0,Gd,3,0,0,378,N,0,0,5,2008,WD ,Normal,242261
6,7,20,RL,6788,Reg,Lvl,Inside,Sawyer,1Fam,1Story,4,6,1979,1950,Gable,HdBoard,BrkFace,TA,CBlock,0,1397,1304,TA,Y,SBrkr,1013,0,1078,0,1,0,2,0,TA,4,0,0,370,Y,0,0,6,2010,WD ,Normal,108780
7,1400,69,RM,1408,Reg,Lvl,Inside,Edwards,1Fam,2Story,5,7,1925,1950,Gable,MetalSd,MetalSd,TA,BrkTil,0,714,714,Gd,N,SBrkr,922,885,1170,0,1,0,1,0,TA,4,0,0,356,N,0,10,1,2007,WD ,Normal,78897
8,2675,188,RM,1027,Reg,Lvl,Inside,MeadowV,2fmCon,SLvl,3,5,1958,1957,Gable,Wd Sdng,CmentBd,TA,CBlock,527,611,691,TA,Y,SBrkr,1004,884,1881,0,2,0,2,0,TA,5,0,1,566,Y,0,0,9,2006,WD ,Normal,83684
9,1435,163,RM,910,IR1,Lvl,Corner,Somerst,Twnhs,SLvl,7,5,1974,1981,Gable,MetalSd,CmentBd,Gd,CBlock,0,601,535,TA,Y,SBrkr,921,654,1221,0,1,0,2,0,TA,4,0,0,374,Y,36,0,6,2007,WD ,Normal,129649
